name,handle,bio,url,platform,dm,title,location,followers,profile_url,contact_info,search_term,extraction_method,relevance_score,is_verified,has_email,has_phone,subscriber_count,description,video_count,subscribers,channel_url,username,raw_text_sample,extracted_at,transformation_stage,content_preview,post_title,pain_points,post_type,source_type,support_seeking,product_interest,source_post_url,search_source,lead_quality,customer_type,niche_goals,urgency_level,article_context,comment_preview,source_article_url,content_engagement,content_focus,reading_patterns
Teacher's Teacher,Teacher's Teacher,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCqlOhsLbtN87FO5ZCAc85ug,youtube,"Hey [Teacher's Name]! 👋 

I just wanted to slide into your DMs to connect with a fellow creator who’s making awesome content! 🎉 I love what you’re doing on your channel—your insights really resonate with the community. 

I think it’d be amazing to collaborate and share our ide...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCqlOhsLbtN87FO5ZCAc85ug,,,,,,,,,,,,,,,,,,,,,,,
teacher. - Topic,teacher. - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCJzl9dxgNzgR0UfoJe31I4Q,youtube,"Hey [Teacher's Name]! 🎉 

I just wanted to slide into your DMs because I absolutely love your content! Your videos on [specific topic] are super inspiring, and I think there's some awesome potential for us to collaborate. 🤝 

Let’s connect and brainstorm some ideas! I’m always...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCJzl9dxgNzgR0UfoJe31I4Q,,,,,,,,,,,,,,,,,,,,,,,
Evolved Teacher - Topic,Evolved Teacher - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCMNew41PdULbgJKwY4ExbXw,youtube,"Hey Evolved! 🌟 

I’ve been diving into your channel, and I’m really impressed with your content! Your insights and creativity are on another level! 🙌 I’d love to connect and explore some collab opportunities. I think our vibes could really mesh and bring something fresh to our...",,,,,,teacher,Channel Renderers,3,,,,171,YouTube channel covering teacher topics,Video count not shown,171 subscribers,https://www.youtube.com/channel/UCMNew41PdULbgJKwY4ExbXw,,,,,,,,,,,,,,,,,,,,,,,
Examपुर Teaching Schools,@ExampurTeachingSchools,YouTube channel covering teacher topics,https://www.youtube.com/@ExampurTeachingSchools,youtube,"Hey Examपुर! 🎉

I just wanted to slide into your DMs and say how much I love your content! Your videos are always so insightful and engaging—definitely a channel worth subscribing to! 

I think there’s some awesome potential for us to collaborate and create something amazing t...",,,,,,teacher,Channel Renderers,3,,,,1000000,YouTube channel covering teacher topics,Video count not shown,1M subscribers,https://www.youtube.com/@ExampurTeachingSchools,,,,,,,,,,,,,,,,,,,,,,,
El Teacher,@elteacher5482,YouTube channel covering teacher topics,https://www.youtube.com/@elteacher5482,youtube,"Hey El! 👋 

I’ve been diving into your content lately and I’m really impressed! Your videos have such a unique vibe, and I love how you engage with your audience. 🎥✨ 

I’m all about connecting with like-minded creators, and I think it’d be awesome to explore some collaboration...",,,,,,teacher,Channel Renderers,3,,,,119000,YouTube channel covering teacher topics,Video count not shown,119K subscribers,https://www.youtube.com/@elteacher5482,,,,,,,,,,,,,,,,,,,,,,,
"Choir Of Western Samoa Teachers' Training College, Apia - Topic","Choir Of Western Samoa Teachers' Training College, Apia - Topic",YouTube channel covering teacher topics,https://www.youtube.com/channel/UCWKQX4IdxozCElesmTham9w,youtube,"안녕하세요! 🎉

Choir님, 유튜브 채널에서 교육 관련 주제를 다루고 계신다니 정말 흥미롭네요! 선생님들의 이야기를 나누는 모습이 많은 분들에게 큰 도움이 될 것 같아요. 앞으로도 좋은 콘텐츠 많이 기대하겠습니다! 

혹시 최근에 어떤 주제를 다루셨는지 궁금해요. 함께 소통할 수 있으면 좋겠어요!

감사합니다! 😊",,,,,,teacher,Channel Renderers,3,,,,5970,YouTube channel covering teacher topics,Video count not shown,5.97K subscribers,https://www.youtube.com/channel/UCWKQX4IdxozCElesmTham9w,,,,,,,,,,,,,,,,,,,,,,,
Father/Teacher - Topic,Father/Teacher - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCqDRlhIvpODcNu857YA6QLg,youtube,"Hey [Creator's Name]! 👋

I just wanted to drop a quick message to say how much I love your content on [specific topic or video]! Your creativity really stands out, and I think we share a lot of similar vibes. 

I’d love to connect and explore some potential collab ideas! It’d ...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCqDRlhIvpODcNu857YA6QLg,,,,,,,,,,,,,,,,,,,,,,,
Power Teacher - Topic,Power Teacher - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCq1ghDkad8-UqRRIdzCsJvQ,youtube,"Hey Power! 👋 Just wanted to slide into your DMs because I’m a huge fan of your channel! Your content is 🔥, and I really admire the way you engage with your audience. I’d love to connect and explore potential collaboration opportunities that could bring our communities together...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCq1ghDkad8-UqRRIdzCsJvQ,,,,,,,,,,,,,,,,,,,,,,,
"Relaxing Baby Music,Yoga Teacher - Topic","Relaxing Baby Music,Yoga Teacher - Topic",YouTube channel covering teacher topics,https://www.youtube.com/channel/UCz1Xe8P-sN4NB-VfAMZmowA,youtube,"Hey Relaxing! 🌟 

I just wanted to slide into your DMs and say how much I love your content! Your videos are super chill and totally help me unwind. 🙌 I think it would be awesome to collaborate and create something cool together! 

Let’s connect and keep the good vibes going! ...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCz1Xe8P-sN4NB-VfAMZmowA,,,,,,,,,,,,,,,,,,,,,,,
El Teacher JR - Topic,El Teacher JR - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCAKBAacIvs3GT1mP61cWm1w,youtube,"Hey El! 🌟

Just wanted to slide into your DMs to connect with a fellow creator! I’ve been checking out your channel and absolutely love your content—your videos are always so engaging and inspiring! 🎥✨

I think we could create some awesome collabs together that our audiences w...",,,,,,teacher,Channel Renderers,3,,,,104,YouTube channel covering teacher topics,Video count not shown,104 subscribers,https://www.youtube.com/channel/UCAKBAacIvs3GT1mP61cWm1w,,,,,,,,,,,,,,,,,,,,,,,
El Teacher Del Rock - Topic,El Teacher Del Rock - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCxDuOWYGPlJMUWxtb9maeiQ,youtube,"Hey El! 👋 I just wanted to slide into your DMs and say how much I love your content! 🎥 Your videos really resonate with me, and I think we could create some awesome stuff together. 🤝 

Let’s connect and explore some collab ideas! Would love to brainstorm and see how we can sup...",,,,,,teacher,Channel Renderers,3,,,,127,YouTube channel covering teacher topics,Video count not shown,127 subscribers,https://www.youtube.com/channel/UCxDuOWYGPlJMUWxtb9maeiQ,,,,,,,,,,,,,,,,,,,,,,,
teacher claude - Topic,teacher claude - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCaaZvMWhN1btrl6fTc3ix9g,youtube,"Hey [Creator's Name]! 👋

I just wanted to slide into your DMs because I absolutely love your content! Your videos on [specific topic or series] are seriously inspiring. 🎥✨ I think we have a lot of common ground and would love to explore the possibility of collaborating! 

Let’...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCaaZvMWhN1btrl6fTc3ix9g,,,,,,,,,,,,,,,,,,,,,,,
BGM Teacher - Topic,BGM Teacher - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCAIqVszBUPi6xeQ6oPBmCrQ,youtube,"Hey BGM! 👋

I just wanted to reach out and say how much I love your content! Your videos really resonate with me and I think we share a lot of similar vibes. I’d love to connect and explore some potential collaboration opportunities. 🤝 

Let’s subscribe to each other’s channel...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCAIqVszBUPi6xeQ6oPBmCrQ,,,,,,,,,,,,,,,,,,,,,,,
Teacher Kolokwa - Topic,Teacher Kolokwa - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCzDF4M4mE7vFqPTgEUWa0Ow,youtube,"Hey [Teacher’s Name]! 👋

I just wanted to reach out and say how much I love your content! Your videos are super inspiring and really resonate with a lot of us in the community. 🎥✨ 

I’d love to connect and explore ways we can collaborate! I think our audiences would really vib...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCzDF4M4mE7vFqPTgEUWa0Ow,,,,,,,,,,,,,,,,,,,,,,,
el negris teacher - Topic,el negris teacher - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCrnIVXIwWYm19gvyiPVZT9g,youtube,"Hey El! 👋 Just wanted to slide into your DMs to say how much I vibe with your content! Your channel is seriously 🔥, and I think we could create something awesome together. Let’s collaborate and take our channels to the next level! Looking forward to staying connected and maybe...",,,,,,teacher,Channel Renderers,3,,,,0,YouTube channel covering teacher topics,Video count not shown,Subscribers not shown,https://www.youtube.com/channel/UCrnIVXIwWYm19gvyiPVZT9g,,,,,,,,,,,,,,,,,,,,,,,
Fijian Teachers Association Choir - Topic,Fijian Teachers Association Choir - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCfxq59B0J3J8WODvwWTez9Q,youtube,"안녕하세요! 🌟

당신의 유튜브 채널에서 교사 관련 주제를 다루고 있다는 이야기를 들었어요. 정말 흥미롭고 유익한 콘텐츠를 기대하고 있습니다! 교육에 대한 당신의 열정이 많은 사람들에게 영감을 줄 것 같아요. 앞으로도 좋은 영상 많이 올려주세요! 

응원합니다! 😊

감사합니다!",,,,,,teacher,Channel Renderers,3,,,,765,YouTube channel covering teacher topics,Video count not shown,765 subscribers,https://www.youtube.com/channel/UCfxq59B0J3J8WODvwWTez9Q,,,,,,,,,,,,,,,,,,,,,,,
ART OF LIVING TEACHER - Topic,ART OF LIVING TEACHER - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCCXc68oo6Syk8ARguKdnu7Q,youtube,"你好，ART！

我刚刚发现了你的频道，真的很喜欢你分享的教师话题！你的内容对我们教育者来说非常有帮助，尤其是在教学方法和课堂管理方面。希望能看到更多关于如何提升课堂互动的分享！期待你的下一个视频，继续加油哦！

祝好，  
[你的名字]",,,,,,teacher,Channel Renderers,3,,,,573,YouTube channel covering teacher topics,Video count not shown,573 subscribers,https://www.youtube.com/channel/UCCXc68oo6Syk8ARguKdnu7Q,,,,,,,,,,,,,,,,,,,,,,,
Teacher Cleo & Kids - Topic,Teacher Cleo & Kids - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCSjyUkEGzq9ibuQtssvIy3Q,youtube,"Hey [Teacher's Name]! 👋

I just wanted to drop a quick message to say how much I love your content! 🎉 Your videos on [specific topic] are super inspiring, and I think we could create some awesome collabs together! 

Let’s connect and explore some ideas to bring our communities...",,,,,,teacher,Channel Renderers,3,,,,3730,YouTube channel covering teacher topics,Video count not shown,3.73K subscribers,https://www.youtube.com/channel/UCSjyUkEGzq9ibuQtssvIy3Q,,,,,,,,,,,,,,,,,,,,,,,
Poor Righteous Teachers - Topic,Poor Righteous Teachers - Topic,YouTube channel covering teacher topics,https://www.youtube.com/channel/UCwSLyPXWqkO8DH4hUEyKAqA,youtube,"Hey Poor! 🎉

Just wanted to slide into your DMs to say how much I love your content! Your videos are super inspiring, and I can totally see us creating something awesome together. 🙌

I think a collaboration could really vibe well with our audiences! Let’s connect and brainstor...",,,,,,teacher,Channel Renderers,3,,,,8340,YouTube channel covering teacher topics,Video count not shown,8.34K subscribers,https://www.youtube.com/channel/UCwSLyPXWqkO8DH4hUEyKAqA,,,,,,,,,,,,,,,,,,,,,,,
